created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-25 03:19:50 UTC,LTC Daily Technical Outlook: $LTC closed bearish today as it is mirroring Bitcoin. I will not be expecting any change to that tomorrow. My primary focus will be on the intraday chart’s volatility to get a quick scalp setup ⚡️  https://t.co/mSFHVKfAXS,cryptowzrd_,[],['ltc'],12,78,1
2021-11-24 03:15:58 UTC,LTC Daily Technical Outlook: $LTC is mirroring Bitcoin and it closed bullish today. I will be focusing on the intraday chart development tomorrow to get a quick scalp setup from Litecoin ⚡️  https://t.co/Pid5sZr13x,cryptowzrd_,[],['ltc'],18,105,5
2021-11-23 03:14:37 UTC,LTC Daily Technical Outlook: $LTC closed bearish as Litecoin is mirroring Bitcoin’s price action. My primary focus will be on the intraday chart tomorrow to get scalps ⚡️  https://t.co/W2953U2omF,cryptowzrd_,[],['ltc'],17,102,3
2021-11-22 03:01:56 UTC,LTC Daily Technical Outlook: $LTC closed bearish in the Weekly chart as projected. The Daily candle printed a doji candle. I'll be expecting more intraday volatility in the coming week. I'll be more interested in scalp setups from Litecoin although it will be following Bitcoin ⚡️  https://t.co/79M5ngiM6g,cryptowzrd_,[],['ltc'],12,87,2
2021-11-21 02:30:52 UTC,LTC Daily Technical Outlook: $LTC and LTCBTC both moved bullish and LTCBTC is now teasing the resistance zone. I will be expecting a slowdown in the chart tomorrow. Litecoin will be following Bitcoin. I will pay close attention to the intraday chart tomorrow ⚡️  https://t.co/CZqmVruFZn,cryptowzrd_,[],['ltc'],21,116,6
2021-11-20 01:58:18 UTC,LTC Daily Technical Outlook: $LTC and LTCBTC both moved bullish and followed the WZRD projection. I will be expecting more volatility from this zone and will be paying close attention to the intraday chart to look for scalp setups 🤔  https://t.co/cqAHI2MygF,cryptowzrd_,[],['ltc'],15,88,3
2021-11-19 02:59:03 UTC,LTC Daily Technical Outlook: $LTC kissed the $200 support target and LTCBTC also dipped to the expected range. Now we will wait for Bitcoin to get its support. As soon as Bitcoin is ready we will long Litecoin 🤔  https://t.co/N0chWOvdWd,cryptowzrd_,[],['ltc'],28,161,2
2021-11-18 03:06:15 UTC,LTC Daily Technical Outlook: $LTC closed as a doji today and it followed Bitcoin. It should follow Bitcoin tomorrow as well. Once LTCBTC finds a support I will be looking for a long position from Litecoin ⚡️  https://t.co/ObUVWqyIvc,cryptowzrd_,[],['ltc'],17,95,11
2021-11-17 03:21:31 UTC,LTC Daily Technical Outlook: $LTC declined as expected and LTCBTC should decline more. Bitcoin will have a huge impact on Litecoin tomorrow. I will be looking for a reversal sign from Bitcoin to get a trade from Litecoin ⚡️  https://t.co/WSuFyOeRhf,cryptowzrd_,[],['ltc'],10,97,2
2021-11-16 03:42:16 UTC,LTC Daily Technical Outlook: $LTC is declining as expected but LTCBTC will lead from here. A higher low in Litecoin will make it more bullish in the higher time frame and I will be looking for a long as soon it shows signs of bullish price action ⚡️  https://t.co/ED4EQY8Gcj,cryptowzrd_,[],['ltc'],14,102,1
